MA_LUAT,TEN_QUY_TAC,DIEU_KIEN,CANH_BAO,TRANG_THAI
THUOC_197,[Glimepiride] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.801' AND (XML1.MA_BENH_CHINH IN ('E10', 'E16.2', 'N18.4', 'N18.5', 'K72', 'O21') OR XML1.MA_BENH_KT REGEXP 'E10|E16\.2|N18\.4|N18\.5|K72|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho ĐTĐ Tuýp 1 (E10), Hạ đường huyết (E16.2), Suy gan/thận nặng, Có thai.",ON
THUOC_201,[Glucosamin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.64' AND (XML1.MA_BENH_CHINH IN ('E11', 'O21') OR XML1.MA_BENH_KT REGEXP 'E11|O21')",⛔ [NGUY HIỂM]: Cần thận trọng/chống chỉ định cho bệnh nhân Đái tháo đường (E11) hoặc Có thai (O21).,ON
THUOC_206,"[Húng chanh, Núc nác, Cineol] Chống chỉ định lâm sàng",XML2.MA_THUOC == '05C.150' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Phụ nữ có thai (O21).,ON
THUOC_208,[Hyoscin N – butylbromid] Chống chỉ định,"XML2.MA_THUOC == '40.698' AND (XML1.MA_BENH_CHINH IN ('N40', 'H40', 'I47') OR XML1.MA_BENH_KT REGEXP 'N40|H40|I47')","⛔ [NGUY HIỂM]: Chống chỉ định cho Phì đại tuyến tiền liệt (N40), Glaucom (H40), Nhịp nhanh (I47).",ON
THUOC_212,[Ibuprofen] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.37' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'J45', 'R58', 'O21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|J45|R58|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày (K25, K26), Hen phế quản (J45), Xuất huyết (R58) hoặc Có thai (O21).",ON
THUOC_215,[Insulin glargine] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.806' AND (XML1.MA_BENH_CHINH IN ('E16.2') OR XML1.MA_BENH_KT REGEXP 'E16\.2'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân đang trong cơn Hạ đường huyết (E16.2).,ON
THUOC_217,[Isosorbid mononitrat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.479' AND (XML1.MA_BENH_CHINH IN ('I95.1', 'I21', 'R57') OR XML1.MA_BENH_KT REGEXP 'I95\.1|I21|R57')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hạ huyết áp (I95.1), Nhồi máu cơ tim cấp (I21), Sốc (R57).",ON
THUOC_220,[Kali chloride] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.567' AND (XML1.MA_BENH_CHINH IN ('E87.5', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'E87\.5|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định tuyệt đối cho bệnh nhân Tăng Kali máu (E87.5) hoặc Suy thận nặng (N18.4, N18.5).",ON
THUOC_224,[Kẽm gluconat] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.725' AND (XML1.MA_BENH_CHINH IN ('E83.0') OR XML1.MA_BENH_KT REGEXP 'E83\.0'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Rối loạn chuyển hóa kẽm/đồng (E83.0).,ON
THUOC_227,[Ketoprofen] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.38' AND (XML1.MA_BENH_CHINH IN ('L20', 'L23', 'K25', 'K26') OR XML1.MA_BENH_KT REGEXP 'L20|L23|K25|K26')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Viêm da dị ứng (L20, L23) hoặc Loét dạ dày (K25, K26).",ON
THUOC_230,[Ketorolac] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.39' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'N18.4', 'N18.5', 'R58', 'O21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|N18\.4|N18\.5|R58|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày (K25, K26), Suy thận nặng (N18.4, N18.5), Xuất huyết (R58) hoặc Phụ nữ có thai (O21).",ON
THUOC_232,[L-Ornithin - L- aspartat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.747' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_234,"[Lá sen,Vông nem...] Chống chỉ định lâm sàng",XML2.MA_THUOC == '05C.135.5' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Phụ nữ có thai (O21).,ON
THUOC_238,[Lactobacillus acidophilus] Chống chỉ định,XML2.MA_THUOC == '40.726' AND (XML1.MA_BENH_CHINH IN ('K56') OR XML1.MA_BENH_KT REGEXP 'K56'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56).,ON
THUOC_239,[Levocetirizin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.90' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'N18.9') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|N18\.9')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5, N18.9).",ON
THUOC_241,[Levofloxacin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.229' AND (XML1.MA_BENH_CHINH IN ('Z88.1', 'G40') OR XML1.MA_BENH_KT REGEXP 'Z88\.1|G40')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Dị ứng Quinolon (Z88.1) hoặc Tiền sử động kinh (G40).,ON
THUOC_245,[Lidocain] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.12' AND (XML1.MA_BENH_CHINH IN ('I44.1', 'I44.2', 'I44.3') OR XML1.MA_BENH_KT REGEXP 'I44\.1|I44\.2|I44\.3')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định (nếu tiêm bắp/tĩnh mạch) cho bệnh nhân có Block AV độ 2-3 (I44).,ON
THUOC_254,[Meloxicam] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.41' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'N18.4', 'N18.5', 'I50', 'I21') OR XML1.MA_BENH_KT REGEXP 'K25|K26|N18\.4|N18\.5|I50|I21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày, Suy thận/tim nặng, NMCT (K25, K26, N18.4, I50, I21).",ON
THUOC_258,[Mesalamin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.748' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'K72', 'K25') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|K72|K25')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan, thận nặng (N18.4, K72) hoặc Loét dạ dày (K25).",ON
THUOC_261,[Metformin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.807' AND (XML1.MA_BENH_CHINH IN ('E10', 'N18.4', 'N18.5', 'K72', 'O21') OR XML1.MA_BENH_KT REGEXP 'E10|N18\.4|N18\.5|K72|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho ĐTĐ Tuýp 1 (E10), Suy thận/gan nặng (N18.4, K72), Phụ nữ có thai (O21).",ON
THUOC_266,[Methylprednisolon] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.775' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26') OR XML1.MA_BENH_KT REGEXP 'B3[5-9]|B4[0-9]|K25|K26')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Nấm hệ thống (B35-B49) hoặc Loét dạ dày tiến triển (K25, K26).",ON
THUOC_268,[Metoclopramid] Chống chỉ định,"XML2.MA_THUOC == '40.690' AND (XML1.MA_BENH_CHINH IN ('K56', 'K92.2', 'G40') OR XML1.MA_BENH_KT REGEXP 'K56|K92\.2|G40')","⛔ [NGUY HIỂM]: Chống chỉ định cho Tắc ruột (K56), Xuất huyết tiêu hóa (K92.2), Tiền sử Động kinh (G40).",ON
THUOC_271,[Metoprolol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.515' AND (XML1.MA_BENH_CHINH IN ('J45', 'I44.1', 'I44.2', 'R00.1') OR XML1.MA_BENH_KT REGEXP 'J45|I44\.1|I44\.2|R00\.1')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hen (J45), Block AV (I44.1, I44.2), Nhịp chậm (R00.1).",ON
THUOC_275,[Metronidazol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.212' AND (XML1.MA_BENH_CHINH IN ('K72', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'K72|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan nặng (K72) hoặc Suy thận nặng (N18.4, N18.5).",ON
THUOC_280,[N-Acetylcystein] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.998' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26', 'J45') OR XML1.MA_BENH_KT REGEXP 'K25|K26|J45')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Loét dạ dày (K25, K26) hoặc Hen phế quản có nguy cơ co thắt (J45).",ON
THUOC_285,[Naloxon] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.114' AND (XML1.MA_BENH_CHINH IN ('I46', 'I44.2') OR XML1.MA_BENH_KT REGEXP 'I46|I44\.2')","⛔ [NGUY HIỂM]: Thuốc thận trọng/chống chỉ định tương đối cho bệnh nhân Ngừng tim, Bệnh tim mạch nặng (I46, I44.2).",ON
THUOC_287,[Natri bicarbonat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.116' AND (XML1.MA_BENH_CHINH IN ('E87.0', 'E87.3', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'E87\.0|E87\.3|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tăng Natri máu (E87.0), Kiềm chuyển hóa (E87.3), Suy thận nặng (N18.4, N18.5).",ON
THUOC_289,[Natri montelukast] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.979' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Cần thận trọng và chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_291,[Nebivolol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.517' AND (XML1.MA_BENH_CHINH IN ('J45', 'I44.1', 'I44.2', 'I46', 'I49.5', 'R00.1', 'K72') OR XML1.MA_BENH_KT REGEXP 'J45|I44\.1|I44\.2|I46|I49\.5|R00\.1|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hen (J45), Block AV (I44), Nhịp chậm (R00.1), Hội chứng Brugada (I49.5), Suy gan (K72).",ON
THUOC_295,[Nefopam] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.47' AND (XML1.MA_BENH_CHINH IN ('G40', 'N40') OR XML1.MA_BENH_KT REGEXP 'G40|N40')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Động kinh (G40) hoặc Bí tiểu do phì đại tuyến tiền liệt (N40).,ON
THUOC_297,[Neostigmin methylsulfat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.832' AND (XML1.MA_BENH_CHINH IN ('J45', 'R06', 'K56') OR XML1.MA_BENH_KT REGEXP 'J45|R06|K56')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hen phế quản (J45), Suy hô hấp (R06) hoặc Tắc ruột (K56).",ON
THUOC_304,[Nifedipin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.519' AND (XML1.MA_BENH_CHINH IN ('I95.1', 'I21', 'O21') OR XML1.MA_BENH_KT REGEXP 'I95\.1|I21|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hạ huyết áp tư thế (I95.1), Nhồi máu cơ tim cấp (I21) hoặc Phụ nữ có thai (O21).",ON
THUOC_310,[Paracetamol] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.48' AND (XML1.MA_BENH_CHINH IN ('K72') OR XML1.MA_BENH_KT REGEXP 'K72'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan nặng (K72).,ON
THUOC_314,[Perindopril + amlodipin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.521' AND (XML1.MA_BENH_CHINH IN ('I95.1', 'O21', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'I95\.1|O21|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hạ huyết áp (I95.1), Phụ nữ có thai (O21), hoặc Suy thận nặng (N18.4, N18.5).",ON
THUOC_317,[Piracetam] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.576' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'I60') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|I60')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5) hoặc Xuất huyết dưới nhện (I60).",ON
THUOC_320,[Protease +Amylase + Lipase] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.740' AND (XML1.MA_BENH_CHINH IN ('K85') OR XML1.MA_BENH_KT REGEXP 'K85'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Viêm tụy cấp (K85).,ON
THUOC_323,[Racecadotril] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.732' AND (XML1.MA_BENH_CHINH IN ('K72') OR XML1.MA_BENH_KT REGEXP 'K72'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan nặng (K72).,ON
THUOC_328,[Rosuvastatin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.558' AND (XML1.MA_BENH_CHINH IN ('K71', 'K72', 'O21', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'K71|K72|O21|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan/thận nặng, Phụ nữ có thai (K71, K72, O21, N18.4).",ON
THUOC_333,[Rotundin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.937' AND (XML1.MA_BENH_CHINH IN ('O21', 'K72', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'O21|K72|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Có thai (O21), Suy gan/thận nặng (K72, N18.4) hoặc ĐTĐ Tuýp 1 (E10).",ON
THUOC_337,[Salmeterol + Fluticason] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.982' AND (XML1.MA_BENH_CHINH IN ('I47', 'I48') OR XML1.MA_BENH_KT REGEXP 'I47|I48')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có Nhịp nhanh kịch phát hoặc Rung nhĩ (I47, I48).",ON
THUOC_339,[Sắt (III)] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.433' AND (XML1.MA_BENH_CHINH IN ('D56', 'D57', 'E83.1') OR XML1.MA_BENH_KT REGEXP 'D56|D57|E83\.1')","⛔ [NGUY HIỂM]: Chống chỉ định cho bệnh nhân Thalassemia (D56), Ứ sắt (E83.1).",ON
THUOC_341,[Sắt fumarat + Acid Folic] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.429' AND (XML1.MA_BENH_CHINH IN ('D56', 'D57', 'E83.1') OR XML1.MA_BENH_KT REGEXP 'D56|D57|E83\.1')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Thalassemia (D56, D57) hoặc Tình trạng ứ sắt (E83.1).",ON
THUOC_344,[Simethicon] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.750' AND (XML1.MA_BENH_CHINH IN ('K56') OR XML1.MA_BENH_KT REGEXP 'K56'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Tắc ruột (K56).,ON
THUOC_349,[Sulfoguaiacol + Codein] Chống chỉ định,"XML2.MA_THUOC == '40.991' AND (XML1.MA_BENH_CHINH IN ('J45', 'R06', 'K72') OR XML1.MA_BENH_KT REGEXP 'J45|R06|K72')","⛔ [NGUY HIỂM]: Chống chỉ định cho bệnh nhân Hen phế quản (J45), Suy hô hấp (R06) hoặc Suy gan (K72).",ON
THUOC_352,[Telmisartan + hydroclorothiazid] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.527' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'O21', 'E87.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|O21|E87\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5), Phụ nữ có thai (O21) hoặc Tăng Kali máu (E87.5).",ON
THUOC_354,[Telmisartan] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.526' AND (XML1.MA_BENH_CHINH IN ('O21', 'N18.4', 'N18.5', 'E87.5') OR XML1.MA_BENH_KT REGEXP 'O21|N18\.4|N18\.5|E87\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Phụ nữ có thai (O21), Suy thận nặng (N18.4, N18.5), Tăng Kali máu (E87.5).",ON
THUOC_357,[Terbutalin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.983' AND (XML1.MA_BENH_CHINH IN ('I47', 'I48') OR XML1.MA_BENH_KT REGEXP 'I47|I48')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có Rối loạn nhịp tim (I47, I48).",ON
THUOC_362,[Trimetazidin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.481' AND (XML1.MA_BENH_CHINH IN ('G20', 'G25', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'G20|G25|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Parkinson (G20, G25) hoặc Suy thận nặng (N18.4, N18.5).",ON
THUOC_364,[Ursodeoxycholic acid] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.756' AND (XML1.MA_BENH_CHINH IN ('K81', 'K83.0', 'O21') OR XML1.MA_BENH_KT REGEXP 'K81|K83\.0|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Viêm túi mật cấp (K81), Viêm đường mật cấp (K83.0) hoặc Phụ nữ có thai (O21).",ON
THUOC_371,[Vitamin B1 + B6 + B12] Chống chỉ định,"XML2.MA_THUOC == '40.1050' AND (XML1.MA_BENH_CHINH IN ('D68', 'N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'D68|N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Rối loạn đông máu (D68) hoặc Suy thận nặng (N18.4, N18.5).",ON
THUOC_373,[Vitamin B6 + magnesi lactat] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.1055' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'E83.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|E83\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5) hoặc Tăng Calci huyết (E83.5).",ON
THUOC_377,[Vitamin C] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.1057' AND (XML1.MA_BENH_CHINH IN ('N20', 'E83.1') OR XML1.MA_BENH_KT REGEXP 'N20|E83\.1')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Sỏi thận (N20) hoặc Rối loạn chuyển hóa Sắt (E83.1).,ON
THUOC_379,[Vitamin E] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.1061' AND (XML1.MA_BENH_CHINH IN ('D68', 'K72') OR XML1.MA_BENH_KT REGEXP 'D68|K72')",⛔ [NGUY HIỂM]: Thuốc cần thận trọng ở bệnh nhân Rối loạn đông máu (D68) hoặc Suy gan nặng (K72).,ON
THUOC_540,[Hydrochlorothiazide / HCT — đa mã & phối hợp] Chống chỉ định ICD,"NOT IS_EMPTY(XML2.MA_THUOC) AND ENGINE_RULE_THUOC_540","⛔ [NGUY HIỂM]: Thuốc có Hydrochlorothiazide (HCT/HCTZ) khi ICD chính/kèm: gút (M10/M1A), E79.0, R34, E27.4, E83.52, N18.4–N18.6, K72 — engine dong_co_giam_dinh + DM thuốc BV.",ON
